"gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"augustus_masked-NW_019167827.1-processed-gene-174.2-mRNA-1:6",55.3774397521397,-6.64949471307334,1.96737093664369,-3.3798886571016,0.000725152000379249,0.0244641159400565
"augustus_masked-NW_019167827.1-processed-gene-48.1-mRNA-1:3",81.4213709667682,-4.29512153820711,1.27131323523561,-3.37849195553377,0.000728845648587296,0.0244641159400565
"augustus_masked-NW_019167827.1-processed-gene-17.4-mRNA-1:7",79.7100365254068,-3.04994640305837,0.902902959057548,-3.37793377733738,0.000730326661059637,0.0244641159400565
"augustus_masked-NW_019167827.1-processed-gene-80.1-mRNA-1:5",406.729917409288,-6.92673925110044,2.05103161436988,-3.37719770020634,0.000732283966267601,0.0244641159400565
"augustus_masked-NW_019167827.1-processed-gene-41.8-mRNA-1:4",54.655070819475,-6.6361904098882,1.96590497905039,-3.37564148857985,0.000736438145038412,0.0244641159400565
"augustus_masked-NW_019167827.1-processed-gene-34.4-mRNA-1:2",84.2053399966875,-6.76287144131482,2.00916518079896,-3.36601067246523,0.000762637576493244,0.0251301382060596
"augustus_masked-NW_019167827.1-processed-gene-221.21-mRNA-1:10",37.2713982931732,-6.31976413481951,1.87973054178248,-3.36205854740578,0.00077363718449598,0.0252886522868046
"augustus_masked-NW_019167827.1-processed-gene-89.5-mRNA-1:1",90.7131041388722,-6.76464404083226,2.01400672462142,-3.35879913315772,0.000782819459427314,0.0253857167557143
"augustus_masked-NW_019167827.1-processed-gene-61.4-mRNA-1:1",187.5456560741,-5.51152627486083,1.64580041664275,-3.34884243504065,0.000811499310803803,0.0258921756841385
"augustus_masked-NW_019167827.1-processed-gene-33.6-mRNA-1:4",413.635882132804,-2.45352323586339,0.73292154805192,-3.34759326204117,0.000815165544673081,0.0258921756841385
"augustus_masked-NW_019167827.1-processed-gene-20.3-mRNA-1:1",100.921232179009,-6.76375765688215,2.02095152134735,-3.34681836028052,0.000817447543625518,0.0258921756841385
"augustus_masked-NW_019167827.1-processed-gene-200.5-mRNA-1:1",51.9651771186636,-6.57382431113271,1.96757522024531,-3.34107903143501,0.000834534642694685,0.0260029897939387
"augustus_masked-NW_019167827.1-processed-gene-91.3-mRNA-1:4",80.0400207611721,-3.0517940249279,0.913463771104756,-3.34090318791409,0.000835063356701529,0.0260029897939387
"augustus_masked-NW_019167827.1-processed-gene-158.0-mRNA-1:2",39.9405630850456,-6.36685227097796,1.90779727713978,-3.33727925250177,0.000846028977071683,0.0260029897939387
"augustus_masked-NW_019167827.1-processed-gene-214.13-mRNA-1:3",136.26102131682,-6.78032474444999,2.03467360783227,-3.33238939078476,0.000861036897011326,0.0260029897939387
"augustus_masked-NW_019167827.1-processed-gene-22.7-mRNA-1:1",46.4257176402235,-6.48152553722707,1.94515406101527,-3.33213994054746,0.000861809086133633,0.0260029897939387
"augustus_masked-NW_019167827.1-processed-gene-195.2-mRNA-1:3",60.8301481423046,-3.5948124092923,1.07899047269742,-3.33164425474997,0.000863345419319032,0.0260029897939387
"augustus_masked-NW_019167827.1-processed-gene-229.11-mRNA-1:1",55.588437568246,-6.61330198469416,1.98809176605995,-3.32645710705827,0.000879575558877735,0.0260029897939387
"augustus_masked-NW_019167827.1-processed-gene-199.2-mRNA-1:8",72.8428184632844,-6.6864102725015,2.01029020986026,-3.32609204367875,0.000880728398815102,0.0260029897939387
"augustus_masked-NW_019167827.1-processed-gene-189.5-mRNA-1:1",36.079786811516,-6.2748701491394,1.88722932559285,-3.32491132055096,0.000884466623676294,0.0260029897939387
"augustus_masked-NW_019167827.1-processed-gene-19.14-mRNA-1:4",36.0492938659696,-6.27611956821525,1.88762634024552,-3.32487390878373,0.000884585311149652,0.0260029897939387
"augustus_masked-NW_019167827.1-processed-gene-223.6-mRNA-1:34",41.9153024260436,-6.39477023160312,1.92555199028532,-3.32100626930129,0.000896935225595994,0.0261776952270374
"augustus_masked-NW_019167827.1-processed-gene-32.9-mRNA-1:1",57.5507683642922,-6.62476261460982,2.00087503466083,-3.31093271686145,0.00092985563357563,0.0267617488501624
"augustus_masked-NW_019167827.1-processed-gene-23.2-mRNA-1:3",72.5042207116989,-6.66553416425812,2.01322410245635,-3.31087540434542,0.00093004609317745,0.0267617488501624
"augustus_masked-NW_019167827.1-processed-gene-80.1-mRNA-1:3",291.316467010551,-6.80236291769632,2.05740260062637,-3.30628673047529,0.000945412893793762,0.0269877908401835
"augustus_masked-NW_019167827.1-processed-gene-6.15-mRNA-1:1",45.2502602756825,-6.44297427337887,1.94969715255708,-3.30460259683343,0.000951111571460212,0.0269877908401835
"augustus_masked-NW_019167827.1-processed-gene-227.13-mRNA-1:3",7.08160029415771,6.51907737319652,1.97293767958529,3.30424900930821,0.00095231205545661,NA
"augustus_masked-NW_019167827.1-processed-gene-223.6-mRNA-1:25",41.272316071989,-6.36857332586069,1.92979724932563,-3.30012561064962,0.000966415628439273,0.0272329259158819
"augustus_masked-NW_019167827.1-processed-gene-6.15-mRNA-1:3",33.078435806116,-6.1870233761935,1.87818348426752,-3.29415279604931,0.000987188199336753,0.0275985497989947
